"""Ano de Lançamento""";"""Certificado de Produto Brasileiro (CPB)""";"""Título""";"""Direção""";"""Gênero""";"""Empresa Produtora Brasileira Majoritária""";"""UF""";"""Empresa Produtora Minoritária Brasileira""";"""UF""";"""Distribuidora""";"""Máximo de Salas""";"""Renda (R$)""";"""Público """
"""1999""";"""B0300021500000""";"""Nós que aqui Estamos por vós Esperamos""";"""Marcelo Masagão""";"""Documentário""";"""Um Minuto""";"""SP""";""" -""";""" -""";"""RioFilme""";"""4""";"""285130""";"""58577"""
"""1999""";"""B0500446400000""";"""O Primeiro Dia""";"""Daniela Thomas/Walter Salles""";"""Ficção""";"""Videofilmes""";"""RJ""";""" -""";""" -""";"""Lumière/RioFilme""";"""17""";"""347917""";"""64383"""
"""1999""";"""B0500336400000""";"""O Trapalhão e a Luz Azul""";"""Alexandre Boury/Paulo Aragão""";"""Ficção""";"""Globo Filmes/Renato Aragão Produções""";"""RJ/RJ""";""" -""";""" -""";"""Lumière""";"""239""";"""2947356""";"""771831"""
"""1999""";"""B0600450400000""";"""O Tronco""";"""João Batista de Andrade""";"""Ficção""";"""Raiz Produções""";"""SP""";""" -""";""" -""";"""Pandora""";"""ND""";"""5000""";"""1000"""
"""1999""";"""B0600460600000""";"""O Viajante""";"""Paulo César Saraceni""";"""Ficção""";"""Shater Produções Artísticas""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""2""";"""24809""";"""5970"""
"""1999""";"""B0800822000000""";"""Orfeu""";"""Cacá Diegues""";"""Ficção""";"""Globo Filmes/Rio Vermelho Filmes""";"""RJ/RJ""";""" -""";""" -""";"""Warner""";"""147""";"""4455409""";"""961961"""
"""1999""";"""B0800819200000""";"""Os Carvoeiros""";"""Nigel Noble""";"""Documentário""";"""Zazen Produções""";"""RJ""";""" -""";""" -""";"""Zazen""";"""ND""";"""5000""";"""1000"""
"""1999""";"""-""";"""Outras Estórias""";"""Pedro Bial""";"""Ficção""";"""THEO Filmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""6""";"""102060""";"""21515"""
"""1999""";"""B0600508700000""";"""Paixão Perdida""";"""Walter Hugo Khouri""";"""Ficção""";"""TV Cultura/Videcom""";"""SP/SP""";""" -""";""" -""";"""RioFilme""";"""6""";"""19516""";"""3596"""
"""1999""";"""B0300013900000""";"""Por Trás do Pano""";"""Luiz Villaça""";"""Ficção""";"""Nia Filmes""";"""SP""";""" -""";""" -""";"""RioFilme""";"""7""";"""118411""";"""22109"""
"""1999""";"""B0901021800000""";"""Santo Forte""";"""Eduardo Coutinho""";"""Documentário""";"""CECIP - Centro de Criação de Imagem Popular""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""4""";"""91883""";"""18313"""
"""1999""";"""B0300047700000""";"""São Jerônimo""";"""Julio Bressane""";"""Ficção""";"""TB Produções""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""2""";"""27722""";"""5000"""
