"""Ano de exibição""";"""Distribuidora""";"""Número de Registro Ancine""";"""Origem da empresa distribuidora""";"""Público""";"""Público Filmes Brasileiros""";"""Renda (R$)""";"""Renda Filmes Brasileiros (R$)""";"""Títulos Exibidos""";"""Títulos Brasileiros  Exibidos""";"""Títulos Lançados""";"""Títulos Brasileiros Lançados"""
"""2012""";"""Fraiha Produções""";"""298""";"""Distribuição Nacional""";"""980""";"""980""";"""10098,24""";"""10098""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""G7 Cinema""";"""5341""";"""Distribuição Nacional""";"""13609""";"""13609""";"""161692,46""";"""161692""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Gávea Filmes """;"""7128""";"""Distribuição Nacional""";"""2263""";"""2263""";"""13943,21""";"""13943""";"""2""";"""2""";"""1""";"""1"""
"""2012""";"""Graça Filmes""";"""16514""";"""Distribuição Nacional""";"""292796""";"""0""";"""2652680,52""";"""0""";"""1""";"""0""";"""1""";"""0"""
"""2012""";"""Grafo Audiovisual""";"""13715""";"""Distribuição Nacional""";"""1884""";"""1884""";"""16751,1""";"""16751""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""H2O Films""";"""24619/21541""";"""Distribuição Nacional""";"""4329""";"""4329""";"""42923,81""";"""42924""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""H2O Films/RioFilme""";"""24619/21541/105""";"""Distribuição Nacional""";"""61312""";"""61312""";"""453499,97""";"""453500""";"""2""";"""2""";"""2""";"""2"""
"""2012""";"""Ideias Maria Farinha""";"""15848""";"""Distribuição Nacional""";"""2744""";"""2744""";"""29153,99""";"""29154""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Imagem """;"""1935""";"""Distribuição Nacional""";"""12419712""";"""689494""";"""136702831,17""";"""6753606""";"""44""";"""8""";"""29""";"""3"""
"""2012""";"""Imovision """;"""11868/173""";"""Distribuição Nacional""";"""1027417""";"""114470""";"""11857567,73""";"""1204043""";"""56""";"""6""";"""34""";"""5"""
"""2012""";"""Kinofilmes Produções""";"""232""";"""Distribuição Nacional""";"""279""";"""279""";"""3191""";"""3191""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Leão Filmes""";"""346""";"""Distribuição Nacional""";"""53""";"""53""";"""299""";"""299""";"""1""";"""1""";"""0""";"""0"""
"""2012""";"""Like Filmes""";"""13632""";"""Distribuição Nacional""";"""0""";"""0""";"""0""";"""0""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Lume""";"""11990""";"""Distribuição Nacional""";"""31975""";"""1486""";"""257175,31""";"""9596""";"""14""";"""2""";"""8""";"""2"""
"""2012""";"""Mapa Filmes do Brasil""";"""647""";"""Distribuição Nacional""";"""597""";"""597""";"""6041,5""";"""6042""";"""1""";"""1""";"""0""";"""0"""
"""2012""";"""Maxie Demian""";"""1417""";"""Distribuição Nacional""";"""283""";"""283""";"""2015""";"""2015""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Mercúrio produções""";"""1436""";"""Distribuição Nacional""";"""9489""";"""9489""";"""42378,9""";"""42379""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Mirada Filmes""";"""16012""";"""Distribuição Nacional""";"""162""";"""162""";"""1756""";"""1756""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Mobz""";"""19119""";"""Distribuição Nacional""";"""2770""";"""2770""";"""34233,47""";"""34233""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Moviola Filmes""";"""18147""";"""Distribuição Nacional""";"""460""";"""460""";"""2856""";"""2856""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Okna Produções""";"""11871""";"""Distribuição Nacional""";"""447""";"""447""";"""2207""";"""2207""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Outros Filmes Produções""";"""14944""";"""Distribuição Nacional""";"""576""";"""576""";"""3480""";"""3480""";"""2""";"""2""";"""2""";"""2"""
"""2012""";"""Panda Filmes""";"""941""";"""Distribuição Nacional""";"""4648""";"""0""";"""40689""";"""0""";"""1""";"""0""";"""1""";"""0"""
"""2012""";"""Pandora """;"""12443/333""";"""Distribuição Nacional""";"""68267""";"""4163""";"""683995,57""";"""31565""";"""21""";"""4""";"""8""";"""1"""
"""2012""";"""Paramount""";"""169""";"""Distribuição Internacional""";"""12716639""";"""170471""";"""142273551""";"""1883285""";"""12""";"""1""";"""9""";"""1"""
"""2012""";"""Paris """;"""11922""";"""Distribuição Nacional""";"""17631287""";"""370624""";"""189518045,7""";"""3879783""";"""39""";"""1""";"""31""";"""1"""
"""2012""";"""Petrini""";"""18028""";"""Distribuição Nacional""";"""32605""";"""0""";"""333179""";"""0""";"""4""";"""0""";"""2""";"""0"""
"""2012""";"""Pipa""";"""5467""";"""Distribuição Nacional""";"""1386""";"""1386""";"""10651,48""";"""10651""";"""3""";"""3""";"""1""";"""1"""
"""2012""";"""Playarte""";"""443""";"""Distribuição Nacional""";"""1753221""";"""288900""";"""19610848,59""";"""3300873""";"""23""";"""2""";"""12""";"""1"""
"""2012""";"""Polifilmes""";"""2550""";"""Distribuição Nacional""";"""1843""";"""1843""";"""10192,01""";"""10192""";"""7""";"""7""";"""0""";"""0"""
"""2012""";"""Polifilmes/Asacine""";"""2550/79""";"""Distribuição Nacional""";"""499""";"""499""";"""4723,27""";"""4723""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Prana Filmes""";"""1226""";"""Distribuição Nacional""";"""1546""";"""1546""";"""10961,9""";"""10962""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Quimera Filmes""";"""459""";"""Distribuição Nacional""";"""14""";"""14""";"""225""";"""225""";"""1""";"""1""";"""0""";"""0"""
"""2012""";"""Raiz Filmes""";"""11792""";"""Distribuição Nacional""";"""322""";"""322""";"""3053,53""";"""3054""";"""3""";"""3""";"""0""";"""0"""
"""2012""";"""Refinaria Produções""";"""4223""";"""Distribuição Nacional""";"""145""";"""145""";"""1012""";"""1012""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""RioFilme""";"""105""";"""Distribuição Nacional""";"""3546""";"""3546""";"""33765,5""";"""33766""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Serendip""";"""4626""";"""Distribuição Nacional""";"""33692""";"""0""";"""318864,11""";"""0""";"""7""";"""0""";"""3""";"""0"""
"""2012""";"""Signopus""";"""1494""";"""Distribuição Nacional""";"""7916""";"""7916""";"""71505,59""";"""71506""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Sony """;"""84""";"""Distribuição Internacional""";"""21791110""";"""75217""";"""254267016,35""";"""864400""";"""29""";"""2""";"""19""";"""1"""
"""2012""";"""Sony/Downtown""";"""84/4904""";"""Codistribuição Internacional-Nacional""";"""377887""";"""377887""";"""3898283,67""";"""3898284""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Sony/RioFilme""";"""84/105""";"""Codistribuição Internacional-Nacional""";"""46735""";"""46735""";"""537896,75""";"""537897""";"""2""";"""2""";"""1""";"""1"""
"""2012""";"""Terra Firme""";"""13354""";"""Distribuição Nacional""";"""548""";"""548""";"""5776""";"""5776""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Tigre Produções Cinematográficas""";"""2234""";"""Distribuição Nacional""";"""19674""";"""19674""";"""47125,51""";"""47126""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Tucumán""";"""16132""";"""Distribuição Nacional""";"""5638""";"""2184""";"""47473,98""";"""12778""";"""3""";"""1""";"""3""";"""1"""
"""2012""";"""Universal""";"""169/84/33787""";"""Distribuição Internacional""";"""9162708""";"""5147""";"""95915553""";"""50074""";"""17""";"""1""";"""14""";"""1"""
"""2012""";"""Usina Digital""";"""4591""";"""Distribuição Nacional""";"""0""";"""0""";"""0""";"""0""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Videofilmes""";"""276""";"""Distribuição Nacional""";"""92""";"""92""";"""411""";"""411""";"""2""";"""2""";"""0""";"""0"""
"""2012""";"""Vinny filmes """;"""17810""";"""Distribuição Nacional""";"""648161""";"""218938""";"""6689303,24""";"""1913570""";"""26""";"""2""";"""20""";"""2"""
"""2012""";"""Vitrine Filmes""";"""16713""";"""Distribuição Nacional""";"""40508""";"""36285""";"""349493,79""";"""311116""";"""15""";"""14""";"""7""";"""6"""
"""2012""";"""VPC Cinemavídeo""";"""2273""";"""Distribuição Nacional""";"""1856""";"""1856""";"""14074,5""";"""14075""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Warner""";"""265""";"""Distribuição Internacional""";"""17716110""";"""2357104""";"""197348198""";"""23603078""";"""28""";"""4""";"""17""";"""2"""
"""2012""";"""Werinton Kermes Telles Marsal""";"""21960""";"""Distribuição Nacional""";"""0""";"""0""";"""0""";"""0""";"""1""";"""1""";"""1""";"""1"""
"""2012""";"""Zazen""";"""611""";"""Distribuição Nacional""";"""402852""";"""402852""";"""3963582,33""";"""3963582""";"""1""";"""1""";"""1""";"""1"""
"""2013""";"""Ab Filmes/Polifilmes""";"""136/2550""";"""Distribuição Nacional""";"""1200""";"""1200""";"""11586,13""";"""11586""";"""2""";"""2""";"""1""";"""1"""
"""2013""";"""Alphaville Filmes""";"""6418""";"""Distribuição Nacional""";"""182445""";"""0""";"""2186898,81""";"""0""";"""10""";"""0""";"""10""";"""0"""
"""2013""";"""ArtHouse""";"""22808""";"""Distribuição Nacional""";"""767""";"""767""";"""10025,35""";"""10025""";"""2""";"""2""";"""2""";"""2"""
"""2013""";"""Bela Filmes""";"""18625""";"""Distribuição Nacional""";"""553""";"""553""";"""3939,68""";"""3940""";"""1""";"""1""";"""1""";"""1"""
"""2013""";"""Bonfilm""";"""14462""";"""Distribuição Nacional""";"""23""";"""0""";"""281,95""";"""0""";"""1""";"""0""";"""0""";"""0"""
"""2013""";"""Brazukah Produções Culturais""";"""12061""";"""Distribuição Nacional""";"""153""";"""153""";"""1300,19""";"""1300""";"""1""";"""1""";"""1""";"""1"""
"""2013""";"""Bretz Vídeo/RioFilme""";"""19243/105""";"""Distribuição Nacional""";"""8831""";"""8831""";"""94502,95""";"""94503""";"""1""";"""1""";"""1""";"""1"""
"""2013""";"""Busca Vida Filmes""";"""18932""";"""Distribuição Nacional""";"""1334""";"""1334""";"""17278,01""";"""17278""";"""1""";"""1""";"""1""";"""1"""
"""2013""";"""Cafco Filmes""";"""24886""";"""Distribuição Nacional""";"""17480""";"""0""";"""210423,51""";"""0""";"""2""";"""0""";"""2""";"""0"""
"""2013""";"""Califórnia """;"""532""";"""Distribuição Nacional""";"""799791""";"""18175""";"""9878915,6""";"""185133""";"""25""";"""3""";"""20""";"""3"""
